date,open,high,low,Close,Volume
11/21/12,72.5316,72.8239,72.2759,72.7782,19254500
11/23/12,72.9792,73.582,72.9426,73.4998,20093300
11/26/12,73.3902,73.7921,73.1344,73.7373,31180700
11/27/12,73.6916,74.194,73.5911,73.6459,39942000
11/28/12,73.3582,74.267,72.7326,74.267,51316900
11/29/12,74.8507,75.2718,74.5502,75.1165,53043500
11/30/12,75.2626,75.2718,74.6507,74.9703,35722500
12/3/12,75.5458,75.5914,74.6689,74.8881,24959800
12/4/12,74.9566,75.1896,74.404,74.9781,37225000
12/5/12,75.3357,75.3631,74.3492,74.8912,40376100
12/6/12,74.879,75.1804,74.5411,75.0074,31829500
12/7/12,75.354,75.3996,74.742,75.0617,24123400
12/10/12,75.2352,75.5001,75.0891,75.3905,29173000
12/11/12,75.9111,76.3221,75.7376,76.1851,40262100
12/12/12,76.4226,76.5414,75.6006,75.7559,40570000
12/13/12,75.7924,76.0025,74.9977,75.2718,33439300
12/14/12,75.0982,75.6371,75.0069,75.2261,28508000
12/17/12,75.5184,76.2925,75.3722,76.2856,35849400
12/18/12,76.4592,77.4273,76.2582,77.3282,53500700
12/19/12,77.4605,77.8658,77.1657,77.4973,49010900
12/20/12,77.5157,77.9487,77.2486,77.8842,50304600
12/21/12,76.7142,77.5618,76.5392,77.5618,54923200
12/24/12,77.2854,77.3591,76.9353,77.1841,10103000
12/26/12,77.3591,77.396,76.5392,76.6321,24671600
12/27/12,76.705,76.8662,75.5903,76.576,35567700
12/28/12,76.1799,76.8064,76.0233,76.0325,34262200
12/31/12,76.1523,77.7829,75.8667,77.6795,67461100
1/2/13,79.5425,80.0677,79.2662,79.9663,116410600
1/3/13,80.0124,80.4085,79.5702,79.7821,45872900
1/4/13,80.1598,80.5559,79.8373,80.3717,29852500
1/7/13,79.9663,80.2151,79.8005,80.0677,23693400
1/8/13,80.04,80.1598,79.5886,80.0112,23760000
1/9/13,80.169,80.473,80.1137,80.3993,27425500
1/10/13,80.7126,80.7863,80.1045,80.5836,39753000
1/11/13,80.5191,80.6481,80.1506,80.4638,27322400
1/14/13,80.298,80.6296,80.1966,80.5099,24351900
1/15/13,79.994,80.9659,79.9387,80.86,34704100
1/16/13,80.6757,80.8415,80.427,80.6204,20881400
1/17/13,80.9889,81.5417,80.9152,81.3667,34219400
1/18/13,81.3851,81.643,81.1732,81.597,23256900
1/22/13,81.6615,82.2326,81.4229,82.1866,31589000
1/23/13,82.2142,82.2557,81.9102,81.9931,32818900
1/24/13,82.1313,82.7762,81.9286,82.2603,39814600
1/25/13,82.6656,82.8591,82.2603,82.8591,34620300
1/28/13,82.9236,83.1263,82.3432,82.9144,42633600
1/29/13,82.8775,83.0619,82.5919,82.9605,37055100
1/30/13,82.8867,82.9328,81.7075,81.9655,39299300
1/31/13,81.8734,82.6196,81.772,82.5275,36924200
2/1/13,82.8775,83.5593,82.7762,83.2553,33925100
2/4/13,82.7486,83.0802,82.1313,82.2511,27006300
2/5/13,82.6472,83.2645,82.5321,82.9881,26551000
2/6/13,82.5919,83.3934,82.5182,83.3382,24297800
2/7/13,83.2737,83.4211,82.4998,83.0618,30206500
2/8/13,83.1723,83.7067,83.1355,83.6514,25189600
